ort;kanton;name;baujahr;konfession;bautypus;architekt;infolink;id
Hombrechtikon;ZH;St. Niklaus;1968 - 1969;Römisch-katholisch;Kirche;Moser, Walter;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1234_zh_hombrechtikon_st_niklaus/index_ger.html;1234
Geroldswil;ZH;St. Johannes;1971 - 1972;Römisch-katholisch;Gemeindezentrum;Moser, Walter;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1235_zh_geroldswil_st_johannes/index_ger.html;1235
Schlierbach;LU;St. Rochus;1972 - 1973;Römisch-katholisch;Kapelle;Moser, Walter;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1236_lu_schlierbach_st_rochus/index_ger.html;1236
Büron;LU;St. Gallus;1975 - 1976;Römisch-katholisch;Kirche;Moser, Walter;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1237_lu_bueron_st_gallus/index_ger.html;1237
Selzach;SO;Pfarreizentrum;1976 - 1977;Römisch-katholisch;Gemeindezentrum;Moser, Walter;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1238_so_selzach_pfarreizentrum/index_ger.html;1238
Birmensdorf;ZH;St. Martin;1976 - 1977;Römisch-katholisch;Kirche;Moser, Walter;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1239_zh_birmensdorf_st_martin/index_ger.html;1239
Arni;AG;Ökumenische Johanneskirche;1982 - 1983;Ökumenisch;Gemeindezentrum;Moser, Walter;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1240_ag_arni_oekumenische_johanneskirche/index_ger.html;1240
Ehrendingen;AG;Ökumenisches Zentrum;1983 - 1984;Ökumenisch;Gemeindezentrum;Moser, Walter;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1241_ag_ehrendingen_oekumenisches_zentrum/index_ger.html;1241
Ittigen;BE;Ökumenisches Zentrum;1978 - 1980;Ökumenisch;Gemeindezentrum;"Nauer, Charles; Scheurer, Kurt";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1242_be_ittigen_oekumenisches_zentrum/index_ger.html;1242
Ostermundingen;BE;Guthirt;1984 - 1985;Römisch-katholisch;Kirche;"Nauer, Charles; Scheurer, Kurt";https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1243_be_ostermundingen_guthirt/index_ger.html;1243
Luzern;LU;Comundo - Romerohaus;1985 - 1986;Römisch-katholisch;Bildungshaus;Oberholzer, Herbert;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1244_lu_luzern_comundo___romerohaus/index_ger.html;1244
Visp;VS;St. Martin mit Bruder-Klaus-Kapelle;1953 - 1955;Römisch-katholisch;Kirche;Pfammatter, Ferdinand;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1246_vs_visp_st_martin_mit_bruder_klaus_kapelle/index_ger.html;1246
Stansstad;NW;Ökumenisches Zentrum;1979 - 1980;Ökumenisch;Gemeindezentrum;Rüssli, Walter;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1247_nw_stansstad_oekumenisches_zentrum/index_ger.html;1247
Fräkmüntegg (Hergiswil);NW;Bergkapelle Fräkmüntegg;1961 - 1962;Römisch-katholisch;Kapelle;Schärli, Otto;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1249_nw_fraekmuentegg_hergiswil_bergkapelle_fraekmuentegg/index_ger.html;1249
St. Niklausen (Kerns);OW;Kloster Bethanien, Kapelle;1968 - 1972;Römisch-katholisch;Kapelle;Schärli, Otto;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1250_ow_st_niklausen_kerns_kloster_bethanien_kapelle/index_ger.html;1250
Luzern;LU;Bruder-Klaus-Kapelle Matthof;1978 - 1979;Römisch-katholisch;Kapelle;Schärli, Otto;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1251_lu_luzern_bruder_klaus_kapelle_matthof/index_ger.html;1251
Basel;BS;Psychiatrische Klinik, Ökumenisches Zentrum;1973;Spital;Kapelle;Senn, Rainer;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1254_bs_basel_psychiatrische_klinik_oekumenisches_zentrum/index_ger.html;1254
Wagen (Rapperswil-Jona);SG;St. Wendelin;1952;Römisch-katholisch;Kapelle;Steiner, Josef;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1255_sg_wagen_rapperswil_jona_st_wendelin/index_ger.html;1255
Illgau;SZ;Hl. Drei Könige;1958;Römisch-katholisch;Kirche;Steiner, Josef;https://www.schweizerkirchenbautag.unibe.ch/moderner_zwnjkirchenbau/fichen/f1200/1256_sz_illgau_hl_drei_koenige/index_ger.html;1256
