ort;kanton;name;baujahr;konfession;bautypus;eigentum;baumassnahmen;nutzungsform;nutzungsart;infolink;ID
Zürich;ZH;Inselhofkapelle;1906;Evangelisch-methodistisch;Kapelle;Verkauf;Umbau;Fremdnutzung;Gewerblich;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/62_zh_zuerich_inselhofkapelle/index_ger.html;62
Schlieren;ZH;Neuapostolische Kirche;1969;Neuapostolisch;Kirche;Verkauf;;Fremdnutzung;Sozial;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/64_zh_schlieren_neuapostolische_kirche/index_ger.html;64
Basel;BS;Lukaskirche;1971 - 1972;Evangelisch-reformiert;Kirche;Verkauf;Unverändert;Fremdnutzung;Kirchlich;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/67_bs_basel_lukaskirche/index_ger.html;67
Basel;BS;Matthäuskirche;1893 - 1895;Evangelisch-reformiert;Kirche;Unverändert;Umbau;Zusammennutzung;Verschiedenes;;68
Basel;BS;St. Alban;"1083 ; 13. Jh (Kirche); 1270 - 1304 (Kloster)";Evangelisch-reformiert;Kirche;Vermietung;Unverändert;Fremdnutzung;Kirchlich;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/69_bs_basel_st_alban/index_ger.html;69
Bern;BE;Französische Kirche;1280 ca.;Evangelisch-reformiert;Kirche;Unverändert;Unverändert;Zusammennutzung;Verschiedenes;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/70_be_bern_franzoesische_kirche/index_ger.html;70
Bulle;FR;Institut Sainte-Croix;;Römisch-katholisch;Kloster;Verkauf;;Fremdnutzung;Verschiedenes;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/71_fr_bulle_institut_sainte_croix/index_ger.html;71
Luzern;LU;Markuskirche (St. Mark's Church);1897 - 1899;Anglikanisch;Kirche;Verkauf;;Fremdnutzung;Kirchlich;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/74_lu_luzern_markuskirche_st_mark_s_church/index_ger.html;74
Kappel am Albis;ZH;Zisterzienserkloster;1185;Römisch-katholisch;Kloster;Unverändert;Unverändert;Zusammennutzung;Verschiedenes;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/76_zh_kappel_am_albis_zisterzienserkloster/index_ger.html;76
Nyon;VD;Anc. Chapelle de l'Eglise Libre;1880 um/vor;Heilsarmee;Kapelle;Verkauf;;Fremdnutzung;Privat;https://www.schweizerkirchenbautag.unibe.ch/datenbank_kirchenumnutzungen/fichen/77_vd_nyon_ancienne_chapelle_de_l_eglise_libre/index_ger.html;77
